title;attribute;character;event;unit;rarity;availability;trained_image;untrained_image;release_date;
Distant-Looking, but Friendly;Cool;Hoshino Ichika;Initial Main Story;Leo/need;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/dc/Ichika_1_art.png/657px-Ichika_1_art.png;2020/09/30;
Leo/need;Happy;Hoshino Ichika;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Ichika_2_art.png/657px-Ichika_2_art.png;2020/09/30;
What Lies Beyond;Mysterious;Hoshino Ichika;Gacha Member Exchange Shop Ticket Exchange Shop;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/71/Ichika_3_trained_art.png/609px-Ichika_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Ichika_3_art.png/609px-Ichika_3_art.png;2020/09/30;
A Chat Before Dawn;Cute;Hoshino Ichika;Gacha Member Exchange Shop Ticket Exchange Shop;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/d/db/Ichika_4_trained_art.png/609px-Ichika_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/20/Ichika_4_art.png/609px-Ichika_4_art.png;2020/09/30;
The Ever Shining Social Butterfly;Cute;Tenma Saki;Initial Main Story;Leo/need;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/7/7f/Saki_1_art.png/657px-Saki_1_art.png;2020/09/30;
Leo/need;Pure;Tenma Saki;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e4/Saki_2_art.png/657px-Saki_2_art.png;2020/09/30;
100 Things I Want to Do;Cool;Tenma Saki;Gacha Member Exchange Shop Ticket Exchange Shop;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Saki_3_trained_art.png/609px-Saki_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f8/Saki_3_art.png/609px-Saki_3_art.png;2020/09/30;
The Kind Honor Student;Mysterious;Mochizuki Honami;Initial Main Story;Leo/need;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/b6/Honami_1_art.png/657px-Honami_1_art.png;2020/09/30;
Leo/need;Cool;Mochizuki Honami;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/c3/Honami_2_art.png/657px-Honami_2_art.png;2020/09/30;
Even if the Taste is the Same;Happy;Mochizuki Honami;Gacha Member Exchange Shop Ticket Exchange Shop;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/75/Honami_3_trained_art.png/609px-Honami_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/73/Honami_3_art.png/609px-Honami_3_art.png;2020/09/30;
The Lone Wolf Who Hates Getting Along;Happy;Hinomori Shiho;Initial Main Story;Leo/need;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/89/Shiho_1_art.png/657px-Shiho_1_art.png;2020/09/30;
Leo/need;Mysterious;Hinomori Shiho;Gacha Member Exchange Shop;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/5e/Shiho_2_art.png/657px-Shiho_2_art.png;2020/09/30;
Lingering Melodies;Cute;Hinomori Shiho;Gacha Member Exchange Shop Ticket Exchange Shop;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/14/Shiho_3_trained_art.png/609px-Shiho_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/ad/Shiho_3_art.png/609px-Shiho_3_art.png;2020/09/30;
Aiming to Be an Idol!;Pure;Hanasato Minori;Initial Main story;MORE MORE JUMP!;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/2d/Minori_1_art.png/657px-Minori_1_art.png;2020/09/30;
MORE MORE JUMP!;Cool;Hanasato Minori;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/3/3c/Minori_2_art.png/657px-Minori_2_art.png;2020/09/30;
Resolve on the Night Before the Concert;Cute;Hanasato Minori;Gacha Member Exchange Shop Ticket Exchange Shop;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/ff/Minori_3_trained_art.png/609px-Minori_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/8c/Minori_3_art.png/609px-Minori_3_art.png;2020/09/30;
The Former National Idol;Happy;Kiritani Haruka;Initial Main Story;MORE MORE JUMP!;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/6f/Haruka_1_art.png/657px-Haruka_1_art.png;2020/09/30;
MORE MORE JUMP!;Pure;Kiritani Haruka;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/4/46/Haruka_2_art.png/657px-Haruka_2_art.png;2020/09/30;
The Me Who Isn't an Idol;Cool;Kiritani Haruka;Gacha Member Exchange Shop Ticket Exchange Shop;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/59/Haruka_3_trained_art.png/609px-Haruka_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/6/6c/Haruka_3_art.png/609px-Haruka_3_art.png;2020/09/30;
